frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
94892,94891,94903,498,3,UP,94932,false
95058,95057,95067,499,2,TAP,95102,false
95225,95225,95233,500,1,TAP,95272,false
95392,95391,95401,501,3,TAP,95439,false
95559,95558,95567,502,2,UP,95605,false
95725,95724,95734,503,3,TAP,95776,false
95892,95891,95902,504,1,DOWN,95942,false
96075,96074,96084,505,2,TAP,96113,false
96242,96241,96250,506,3,UP,96280,false
96409,96408,96418,507,2,TAP,96450,false
96427,96426,96437,507,2,TAP,96452,true
96575,96574,96584,508,1,TAP,96619,false
96742,96741,96752,509,3,TAP,96787,false
96908,96907,96917,510,2,UP,96953,false
97075,97074,97085,511,3,TAP,97124,false
97242,97242,97250,512,1,DOWN,97292,false
97408,97407,97418,513,2,TAP,97461,false
97575,97574,97584,514,3,UP,97629,false
97758,97757,97767,515,2,TAP,97798,false
97925,97924,97933,516,3,LEFT,97965,false
98092,98091,98102,517,2,TAP,98135,false
98259,98258,98269,518,1,DOWN,98303,false
98425,98424,98433,519,2,TAP,98472,false
98592,98591,98600,520,3,UP,98638,false
98758,98757,98767,521,2,TAP,98809,false
98925,98924,98934,522,3,UP,98977,false
99108,99107,99117,523,2,TAP,99146,false
99275,99274,99285,524,3,LEFT,99313,false
99442,99441,99450,525,2,TAP,99485,false
99609,99608,99617,526,1,DOWN,99650,false
99776,99775,99785,527,2,TAP,99821,false
99941,99940,99951,528,3,UP,99987,false
100109,100108,100118,529,2,TAP,100158,false
100275,100274,100283,530,3,UP,100324,false
100442,100441,100450,531,2,TAP,100495,false
100626,100625,100635,532,1,TAP,100664,false
100792,100791,100800,533,3,TAP,100832,false
100959,100958,100969,534,2,UP,101000,false
101125,101124,101133,535,3,TAP,101169,false
101292,101291,101302,536,1,DOWN,101336,false
101459,101458,101468,537,2,TAP,101506,false
101625,101624,101634,538,3,UP,101673,false
101792,101791,101801,539,2,TAP,101844,false
101959,101958,101968,540,1,TAP,102012,false
102142,102141,102151,541,3,TAP,102180,false
102308,102307,102318,542,2,UP,102347,false
102475,102474,102484,543,3,TAP,102517,false
102642,102641,102647,544,1,DOWN,102683,false
102809,102808,102818,545,2,TAP,102855,false
102827,102826,102835,545,2,TAP,102857,true
102975,102974,102984,546,3,UP,103019,false
102992,102991,103002,546,3,UP,103021,true
103141,103140,103151,547,2,TAP,103191,false
103309,103308,103318,548,1,TAP,103361,false
103475,103474,103484,549,2,TAP,103528,false
103642,103641,103650,550,3,LEFT,103695,false
103825,103824,103835,551,2,TAP,103867,false
103992,103991,104001,552,3,TAP,104034,false
104159,104158,104168,553,2,TAP,104204,false
104325,104324,104335,554,1,DOWN,104369,false
104491,104490,104500,555,2,TAP,104539,false
104659,104658,104667,556,3,TAP,104709,false
104825,104824,104834,557,2,TAP,104877,false
104992,104991,105001,558,3,UP,105044,false
105175,105174,105185,559,2,TAP,105215,false
105341,105340,105351,560,3,UP,105379,false
105508,105507,105517,561,2,TAP,105551,false
105675,105674,105684,562,3,UP,105717,false
105842,105841,105850,563,2,TAP,105888,false
106008,106007,106017,564,1,TAP,106057,false
106175,106174,106184,565,3,TAP,106225,false
106341,106340,106351,566,2,UP,106391,false
106508,106507,106517,567,3,TAP,106562,false
106675,106674,106683,568,1,DOWN,106728,false
106858,106857,106868,569,2,TAP,106899,false
107025,107024,107034,570,3,UP,107067,false
107192,107191,107201,571,2,TAP,107237,false
107358,107357,107368,572,1,TAP,107406,false
107525,107524,107535,573,3,TAP,107573,false
107691,107690,107700,574,2,UP,107739,false
107858,107857,107868,575,3,TAP,107911,false
108026,108025,108036,576,1,DOWN,108078,false
108208,108207,108217,577,2,TAP,108248,false
108375,108374,108385,578,3,UP,108414,false
108542,108541,108551,579,2,TAP,108585,false
