time_ms,gameplay,notes,processing_ms
17061,true,2,1.685
17078,true,2,2.306
17094,true,2,1.709
17111,true,2,2.071
17128,true,2,0.921
17145,true,2,1.905
17162,true,2,0.878
17179,true,2,1.654
17195,true,2,0.963
17211,true,2,0.927
17228,true,2,2.236
17244,true,2,4.028
17261,true,2,0.927
17279,true,2,0.922
17294,true,1,0.470
17312,true,1,0.530
17328,true,1,0.474
17345,true,1,0.504
17363,true,1,0.462
17379,true,1,0.475
17396,true,1,0.496
17413,true,1,0.540
17428,true,1,0.514
17444,true,1,1.060
17461,true,1,0.542
17480,true,1,0.923
17495,true,2,1.840
17514,true,2,1.704
17529,true,1,0.737
17546,true,1,0.407
17562,true,1,0.884
17579,true,1,0.857
17596,true,1,0.471
17614,true,1,0.410
17629,true,1,0.877
17646,true,1,0.875
17663,true,1,0.889
17680,true,1,0.481
17696,true,1,2.076
17712,true,1,0.458
17729,true,1,0.435
17746,true,1,0.955
17763,true,1,0.658
17778,true,1,0.963
17795,true,1,1.030
17811,true,1,0.981
17828,true,1,1.107
17844,true,1,1.040
17861,true,1,1.059
17878,true,1,0.541
17894,true,1,0.537
17911,true,1,0.577
17928,true,1,1.055
17944,true,2,2.021
17961,true,2,1.352
17979,true,1,0.726
17995,true,1,1.210
18004,true,1,1.028
18012,true,1,1.074
18029,true,1,0.881
18046,true,1,1.369
18063,true,1,0.872
18079,true,1,0.434
18095,true,1,1.095
18113,true,1,1.112
18129,true,1,0.930
18146,true,1,1.045
18163,true,1,0.783
18179,true,1,0.473
18196,true,1,0.478
18213,true,1,0.966
18229,true,1,0.992
18246,true,1,0.525
18262,true,1,1.392
18278,true,1,0.829
18295,true,1,1.080
18311,true,1,0.529
18328,true,1,0.789
18346,true,1,0.505
18362,true,1,0.534
18378,true,1,0.522
18395,true,1,0.510
18411,true,1,0.548
18429,true,1,0.582
18444,true,0,0.070
18461,true,0,0.114
18478,true,0,0.435
18496,true,0,0.476
18512,true,0,0.069
18530,true,0,0.448
18546,true,0,0.105
18563,true,0,0.146
18579,true,0,0.097
18595,true,0,0.091
18613,true,1,0.437
18630,true,1,0.876
18646,true,1,0.894
18663,true,1,0.469
18679,true,1,0.441
18696,true,1,0.945
18712,true,1,0.421
18728,true,1,0.428
18744,true,1,2.156
18762,true,1,0.498
18778,true,1,0.511
18795,true,1,0.467
18811,true,1,0.457
18828,true,1,0.442
18845,true,2,0.818
18861,true,2,0.791
18878,true,2,0.819
18895,true,2,0.843
18911,true,2,0.956
18928,true,2,0.865
18944,true,2,0.836
18962,true,2,0.847
18978,true,2,0.875
18995,true,2,0.891
19012,true,2,0.859
19029,true,2,0.866
19045,true,2,0.914
19062,true,2,1.128
19081,true,1,0.474
19095,true,1,0.475
19112,true,1,0.461
19128,true,1,0.490
19146,true,1,0.518
19162,true,1,0.473
19179,true,1,1.147
19196,true,1,1.061
19212,true,1,0.497
19229,true,1,1.157
19246,true,1,1.292
19262,true,1,0.587
19279,true,1,1.163
19296,true,1,0.529
19312,true,1,1.109
19328,true,0,0.090
19345,true,0,0.090
19363,true,0,0.120
19379,true,0,0.455
19399,true,0,0.546
19413,true,0,0.098
19429,true,0,0.260
19445,true,0,0.077
19461,true,1,0.475
19479,true,0,0.117
19496,true,0,0.090
19512,true,1,0.393
19530,true,1,0.897
19546,true,1,0.835
19563,true,1,0.843
19579,true,1,0.875
19596,true,1,0.906
19613,true,1,0.414
19627,true,1,0.434
19644,true,1,0.721
19661,true,1,0.959
19678,true,1,0.740
19694,true,1,0.741
19711,true,1,0.735
19728,true,1,0.969
19744,true,2,0.878
19762,true,2,1.528
19778,true,2,1.568
19795,true,2,1.754
19811,true,2,0.900
19828,true,2,0.895
19845,true,2,0.834
19862,true,2,0.818
19878,true,2,0.897
19895,true,2,0.822
19911,true,2,2.440
19928,true,2,0.871
19944,true,2,0.899
19961,true,2,0.999
19978,true,2,1.005
19995,true,1,0.486
20003,true,1,0.472
20011,true,1,0.474
20029,true,1,0.977
20045,true,1,0.904
20061,true,1,0.479
20079,true,1,0.463
20096,true,1,1.095
20112,true,1,1.013
20129,true,1,1.025
20146,true,1,1.073
20162,true,1,0.884
20179,true,1,0.499
20196,true,1,0.496
20212,true,1,0.749
20230,true,1,0.541
20245,true,0,0.116
20263,true,0,0.059
20278,true,0,0.220
